Opened Date,Days Since Start Date,Day of Week,# of Cases
2017-02-16,1871,3,101
2017-02-17,1872,4,77
2017-02-20,1875,0,67
2017-02-21,1876,1,85
2017-02-22,1877,2,94
2017-02-23,1878,3,99
2017-02-24,1879,4,75
2017-02-27,1882,0,100
2017-02-28,1883,1,105
2017-03-01,1884,2,103
2017-03-02,1885,3,94
2017-03-03,1886,4,88
2017-03-06,1889,0,119
2017-03-07,1890,1,125
2017-03-08,1891,2,107
2017-03-09,1892,3,106
2017-03-10,1893,4,89
2017-03-13,1896,0,127
2017-03-14,1897,1,107
2017-03-15,1898,2,132
2017-03-16,1899,3,104
2017-03-17,1900,4,103
2017-03-20,1903,0,126
2017-03-21,1904,1,103
2017-03-22,1905,2,90
2017-03-23,1906,3,83
2017-03-24,1907,4,85
2017-03-27,1910,0,82
2017-03-28,1911,1,91
2017-03-29,1912,2,98
2017-03-30,1913,3,71
2017-03-31,1914,4,107
2017-04-03,1917,0,125
2017-04-04,1918,1,112
2017-04-05,1919,2,74
2017-04-06,1920,3,108
2017-04-07,1921,4,72
2017-04-10,1924,0,113
2017-04-11,1925,1,97
2017-04-12,1926,2,88
2017-04-13,1927,3,93
2017-04-14,1928,4,61
2017-04-17,1931,0,99
2017-04-18,1932,1,110
2017-04-19,1933,2,76
2017-04-20,1934,3,83
2017-04-21,1935,4,76
2017-04-24,1938,0,97
2017-04-25,1939,1,101
2017-04-26,1940,2,95
2017-04-27,1941,3,98
2017-04-28,1942,4,73
2017-05-01,1945,0,102
2017-05-02,1946,1,78
2017-05-03,1947,2,99
2017-05-04,1948,3,83
2017-05-05,1949,4,81
2017-05-08,1952,0,113
2017-05-09,1953,1,94
2017-05-10,1954,2,93
2017-05-11,1955,3,78
2017-05-12,1956,4,92
2017-05-15,1959,0,100
2017-05-16,1960,1,101
2017-05-17,1961,2,107
2017-05-18,1962,3,95
2017-05-19,1963,4,99
2017-05-22,1966,0,103
2017-05-23,1967,1,102
2017-05-24,1968,2,109
2017-05-25,1969,3,113
2017-05-26,1970,4,92
2017-05-29,1973,0,3
2017-05-30,1974,1,120
2017-05-31,1975,2,107
2017-06-01,1976,3,101
2017-06-02,1977,4,80
2017-06-05,1980,0,112
2017-06-06,1981,1,102
2017-06-07,1982,2,87
2017-06-08,1983,3,108
2017-06-09,1984,4,117
2017-06-12,1987,0,143
2017-06-13,1988,1,138
2017-06-14,1989,2,119
2017-06-15,1990,3,93
2017-06-16,1991,4,102
2017-06-19,1994,0,97
2017-06-20,1995,1,97
2017-06-21,1996,2,105
2017-06-22,1997,3,92
2017-06-23,1998,4,75
2017-06-26,2001,0,113
